time,Thermo Ch 5,Heater Ch 1
2026-05-08 11:49:00+00,2.410000000000025,0
2026-05-08 11:49:01+00,2.3799999999999955,0
2026-05-08 11:49:02+00,2.3600000000000136,0
2026-05-08 11:49:03+00,2.3700000000000045,0
2026-05-08 11:49:04+00,2.340000000000032,0
2026-05-08 11:49:05+00,2.32000000000005,0
2026-05-08 11:49:06+00,2.32000000000005,0
2026-05-08 11:49:07+00,2.3000000000000114,0
2026-05-08 11:49:08+00,2.2800000000000296,0
2026-05-08 11:49:09+00,2.2800000000000296,0
2026-05-08 11:49:10+00,2.2800000000000296,0
2026-05-08 11:49:11+00,2.2600000000000477,0
2026-05-08 11:49:12+00,2.240000000000009,0
2026-05-08 11:49:13+00,2.240000000000009,0
2026-05-08 11:49:14+00,2.2200000000000273,0
2026-05-08 11:49:15+00,2.230000000000018,0
2026-05-08 11:49:16+00,2.2100000000000364,0
2026-05-08 11:49:17+00,2.2000000000000455,0
2026-05-08 11:49:18+00,2.180000000000007,0
2026-05-08 11:49:19+00,2.170000000000016,0
2026-05-08 11:49:20+00,2.160000000000025,0
2026-05-08 11:49:21+00,2.150000000000034,0
2026-05-08 11:49:22+00,2.150000000000034,0
2026-05-08 11:49:23+00,2.140000000000043,0
2026-05-08 11:49:24+00,2.1299999999999955,0
2026-05-08 11:49:25+00,2.1200000000000045,0
2026-05-08 11:49:26+00,2.1100000000000136,0
2026-05-08 11:49:27+00,2.1000000000000227,0
2026-05-08 11:49:28+00,2.090000000000032,0
2026-05-08 11:49:29+00,2.080000000000041,0
2026-05-08 11:49:30+00,2.07000000000005,0
2026-05-08 11:49:31+00,2.07000000000005,0
2026-05-08 11:49:32+00,2.0600000000000023,0
2026-05-08 11:49:33+00,2.0500000000000114,0
2026-05-08 11:49:34+00,2.0500000000000114,0
2026-05-08 11:49:35+00,2.0400000000000205,0
2026-05-08 11:49:36+00,2.0300000000000296,0
2026-05-08 11:49:37+00,2.0200000000000387,0
2026-05-08 11:49:38+00,2.0100000000000477,0
2026-05-08 11:49:39+00,2,
2026-05-08 11:49:40+00,1.990000000000009,0
2026-05-08 11:49:41+00,1.9800000000000182,24.456
2026-05-08 11:49:42+00,1.9700000000000273,24.408
2026-05-08 11:49:43+00,1.9800000000000182,24.312
2026-05-08 11:49:44+00,2,24.216
2026-05-08 11:49:45+00,2.0400000000000205,24.057
2026-05-08 11:49:46+00,2.1100000000000136,16.389
2026-05-08 11:49:47+00,2.1899999999999977,12.068
2026-05-08 11:49:48+00,2.2900000000000205,0
2026-05-08 11:49:49+00,2.3799999999999955,0
2026-05-08 11:49:50+00,2.4700000000000273,0
2026-05-08 11:49:51+00,2.5500000000000114,0
2026-05-08 11:49:52+00,2.6200000000000045,3.2
2026-05-08 11:49:53+00,2.680000000000007,3.122
2026-05-08 11:49:54+00,2.7200000000000273,5.06
2026-05-08 11:49:55+00,2.7600000000000477,13.454
2026-05-08 11:49:56+00,2.8000000000000114,15.796
2026-05-08 11:49:57+00,2.830000000000041,13.97
2026-05-08 11:49:58+00,2.8600000000000136,20.893
2026-05-08 11:49:59+00,2.910000000000025,19.665
2026-05-08 11:50:00+00,2.9600000000000364,13.103
2026-05-08 11:50:01+00,3.0200000000000387,12.936
2026-05-08 11:50:02+00,3.1000000000000227,12.845
2026-05-08 11:50:03+00,3.170000000000016,1.484
2026-05-08 11:50:04+00,3.240000000000009,4.174
2026-05-08 11:50:05+00,3.3100000000000023,4.023
2026-05-08 11:50:06+00,3.3799999999999955,0
2026-05-08 11:50:07+00,3.420000000000016,1.627
2026-05-08 11:50:08+00,3.4600000000000364,10.133
2026-05-08 11:50:09+00,3.5,11.795
2026-05-08 11:50:10+00,3.5200000000000387,14.797
2026-05-08 11:50:11+00,3.5500000000000114,18.051
2026-05-08 11:50:12+00,3.580000000000041,18.526
2026-05-08 11:50:13+00,3.6200000000000045,17.881
2026-05-08 11:50:14+00,3.670000000000016,13.397
2026-05-08 11:50:15+00,3.7200000000000273,9.681
2026-05-08 11:50:16+00,3.7800000000000296,9.486
2026-05-08 11:50:17+00,3.840000000000032,5.415
2026-05-08 11:50:18+00,3.890000000000043,1.087
2026-05-08 11:50:19+00,3.9500000000000455,6.622
2026-05-08 11:50:20+00,3.990000000000009,2.064
2026-05-08 11:50:21+00,4.03000000000003,11.219
2026-05-08 11:50:22+00,4.060000000000002,10.921
2026-05-08 11:50:23+00,4.090000000000032,11.745
2026-05-08 11:50:24+00,4.110000000000014,14.564
2026-05-08 11:50:25+00,4.140000000000043,14.449
2026-05-08 11:50:26+00,4.170000000000016,15.452
2026-05-08 11:50:27+00,4.2000000000000455,16.947
2026-05-08 11:50:28+00,4.240000000000009,12.584
2026-05-08 11:50:29+00,4.28000000000003,6.306
2026-05-08 11:50:30+00,4.330000000000041,9.537
2026-05-08 11:50:31+00,4.3799999999999955,5.727
2026-05-08 11:50:32+00,4.430000000000007,
2026-05-08 11:50:33+00,4.460000000000036,6.9145
2026-05-08 11:50:34+00,4.490000000000009,4.489
2026-05-08 11:50:35+00,4.53000000000003,
2026-05-08 11:50:36+00,4.560000000000002,7.472
2026-05-08 11:50:37+00,4.580000000000041,11.324
2026-05-08 11:50:38+00,4.600000000000023,11.193
2026-05-08 11:50:39+00,4.6200000000000045,14.163
2026-05-08 11:50:40+00,4.640000000000043,13.357
2026-05-08 11:50:41+00,4.670000000000016,13.098
2026-05-08 11:50:42+00,4.7000000000000455,14.8925
2026-05-08 11:50:43+00,4.730000000000018,10.147
2026-05-08 11:50:44+00,4.760000000000048,9.439
2026-05-08 11:50:45+00,4.7900000000000205,
2026-05-08 11:50:46+00,4.830000000000041,6.028
2026-05-08 11:50:47+00,4.860000000000014,9.394
2026-05-08 11:50:48+00,4.890000000000043,5.408
2026-05-08 11:50:49+00,4.910000000000025,8.461
2026-05-08 11:50:50+00,4.939999999999998,8.028
2026-05-08 11:50:51+00,4.960000000000036,7.876
2026-05-08 11:50:52+00,4.980000000000018,14.794
2026-05-08 11:50:53+00,5,7.552
2026-05-08 11:50:54+00,5.020000000000039,
2026-05-08 11:50:55+00,5.03000000000003,10.6385
2026-05-08 11:50:56+00,5.050000000000011,10.992
2026-05-08 11:50:57+00,5.080000000000041,10.751
2026-05-08 11:50:58+00,5.100000000000023,10.272
2026-05-08 11:50:59+00,5.1299999999999955,8.404
2026-05-08 11:51:00+00,5.150000000000034,6.073
2026-05-08 11:51:01+00,5.170000000000016,6.897
2026-05-08 11:51:02+00,5.189999999999998,9.548
2026-05-08 11:51:03+00,5.2000000000000455,8.837
2026-05-08 11:51:04+00,5.220000000000027,8.606
2026-05-08 11:51:05+00,5.240000000000009,8.336
2026-05-08 11:51:06+00,5.260000000000048,8.187
2026-05-08 11:51:07+00,5.270000000000039,15.337
2026-05-08 11:51:08+00,5.270000000000039,8.147
2026-05-08 11:51:09+00,5.2900000000000205,7.615
2026-05-08 11:51:10+00,5.310000000000002,11.17
2026-05-08 11:51:11+00,5.32000000000005,7.898
2026-05-08 11:51:12+00,5.330000000000041,
2026-05-08 11:51:13+00,5.350000000000023,10.6875
2026-05-08 11:51:14+00,5.3700000000000045,7.833
2026-05-08 11:51:15+00,5.3799999999999955,8.52
2026-05-08 11:51:16+00,5.390000000000043,6.891
2026-05-08 11:51:17+00,5.410000000000025,5.952
2026-05-08 11:51:18+00,5.420000000000016,5.612
2026-05-08 11:51:19+00,5.430000000000007,6.73
2026-05-08 11:51:20+00,5.439999999999998,9.009
2026-05-08 11:51:21+00,5.4500000000000455,8.831
2026-05-08 11:51:22+00,5.460000000000036,8.608
2026-05-08 11:51:23+00,5.470000000000027,8.429
2026-05-08 11:51:24+00,5.480000000000018,8.318
2026-05-08 11:51:25+00,5.480000000000018,11.921
2026-05-08 11:51:26+00,5.490000000000009,4.193
2026-05-08 11:51:27+00,5.490000000000009,11.106
2026-05-08 11:51:28+00,5.510000000000048,
2026-05-08 11:51:29+00,5.520000000000039,7.570499999999999
2026-05-08 11:51:30+00,5.53000000000003,
2026-05-08 11:51:31+00,5.5400000000000205,5.661
2026-05-08 11:51:32+00,5.550000000000011,5.83
2026-05-08 11:51:33+00,5.560000000000002,7.816
2026-05-08 11:51:34+00,5.560000000000002,8.75
2026-05-08 11:51:35+00,5.560000000000002,6.44
2026-05-08 11:51:36+00,5.560000000000002,7.33
2026-05-08 11:51:37+00,5.550000000000011,10.612
2026-05-08 11:51:38+00,5.560000000000002,13.67
2026-05-08 11:51:39+00,5.57000000000005,6.184
2026-05-08 11:51:40+00,5.57000000000005,9.424
2026-05-08 11:51:41+00,5.580000000000041,5.721
2026-05-08 11:51:42+00,5.580000000000041,9.284
2026-05-08 11:51:43+00,5.590000000000032,5.5
2026-05-08 11:51:44+00,5.600000000000023,8.892
