time,Thermo Ch 5,Heater Ch 1
2026-05-04 08:59:00+00,6.6200000000000045,20.863
2026-05-04 08:59:01+00,6.600000000000023,21.445
2026-05-04 08:59:02+00,6.580000000000041,21.467
2026-05-04 08:59:03+00,6.590000000000032,21.768
2026-05-04 08:59:04+00,6.580000000000041,22.332
2026-05-04 08:59:05+00,6.560000000000002,22.344
2026-05-04 08:59:06+00,6.57000000000005,23.216
2026-05-04 08:59:07+00,6.550000000000011,23.376
2026-05-04 08:59:08+00,6.5400000000000205,23.832
2026-05-04 08:59:09+00,6.5400000000000205,24.216
2026-05-04 08:59:10+00,6.5400000000000205,24.324
2026-05-04 08:59:11+00,6.5400000000000205,24.312
2026-05-04 08:59:12+00,6.53000000000003,24.3
2026-05-04 08:59:13+00,6.53000000000003,24.276
2026-05-04 08:59:14+00,6.520000000000039,24.252
2026-05-04 08:59:15+00,6.510000000000048,24.204
2026-05-04 08:59:16+00,6.520000000000039,24.168
2026-05-04 08:59:17+00,6.520000000000039,24.156
2026-05-04 08:59:18+00,6.520000000000039,24.12
2026-05-04 08:59:19+00,6.520000000000039,24.204
2026-05-04 08:59:20+00,6.520000000000039,24.216
2026-05-04 08:59:21+00,6.53000000000003,24.216
2026-05-04 08:59:22+00,6.53000000000003,24.192
2026-05-04 08:59:23+00,6.53000000000003,24.168
2026-05-04 08:59:24+00,6.53000000000003,24.144
2026-05-04 08:59:25+00,6.5400000000000205,24.144
2026-05-04 08:59:26+00,6.5400000000000205,24.132
2026-05-04 08:59:27+00,6.5400000000000205,23.94
2026-05-04 08:59:28+00,6.560000000000002,23.928
2026-05-04 08:59:29+00,6.57000000000005,23.827
2026-05-04 08:59:30+00,6.560000000000002,23.128
2026-05-04 08:59:31+00,6.580000000000041,23.052
2026-05-04 08:59:32+00,6.57000000000005,22.729
2026-05-04 08:59:33+00,6.600000000000023,21.757
2026-05-04 08:59:34+00,6.590000000000032,21.456
2026-05-04 08:59:35+00,6.610000000000014,21.287
2026-05-04 08:59:36+00,6.610000000000014,20.83
2026-05-04 08:59:37+00,6.6299999999999955,20.729
2026-05-04 08:59:38+00,6.640000000000043,19.673
2026-05-04 08:59:39+00,6.640000000000043,19.126
2026-05-04 08:59:40+00,6.650000000000034,18.87
2026-05-04 08:59:41+00,6.660000000000025,18.286
2026-05-04 08:59:42+00,6.670000000000016,17.689
2026-05-04 08:59:43+00,6.680000000000007,17.389
2026-05-04 08:59:44+00,6.689999999999998,16.817
2026-05-04 08:59:45+00,6.7000000000000455,16.222
2026-05-04 08:59:46+00,6.710000000000036,15.834
2026-05-04 08:59:47+00,6.730000000000018,15.314
2026-05-04 08:59:48+00,6.740000000000009,14.761
2026-05-04 08:59:49+00,6.75,14.249
2026-05-04 08:59:50+00,6.760000000000048,13.952
2026-05-04 08:59:51+00,6.770000000000039,12.985
2026-05-04 08:59:52+00,6.78000000000003,12.13
2026-05-04 08:59:53+00,6.7900000000000205,11.614
2026-05-04 08:59:54+00,6.800000000000011,11.361
2026-05-04 08:59:55+00,6.810000000000002,10.826
2026-05-04 08:59:56+00,6.82000000000005,10.365
2026-05-04 08:59:57+00,6.830000000000041,9.801
2026-05-04 08:59:58+00,6.840000000000032,9.247
2026-05-04 08:59:59+00,6.850000000000023,8.9
2026-05-04 09:00:00+00,6.860000000000014,8.313
2026-05-04 09:00:01+00,6.860000000000014,7.959
2026-05-04 09:00:02+00,6.8700000000000045,7.592
2026-05-04 09:00:03+00,6.890000000000043,6.795
2026-05-04 09:00:04+00,6.890000000000043,6.573
2026-05-04 09:00:05+00,6.890000000000043,6.402
2026-05-04 09:00:06+00,6.900000000000034,6.03
2026-05-04 09:00:07+00,6.910000000000025,5.504
2026-05-04 09:00:08+00,6.910000000000025,5.441
2026-05-04 09:00:09+00,6.910000000000025,4.956
2026-05-04 09:00:10+00,6.930000000000007,4.402
2026-05-04 09:00:11+00,6.930000000000007,4.92
2026-05-04 09:00:12+00,6.920000000000016,3.904
2026-05-04 09:00:13+00,6.920000000000016,3.851
2026-05-04 09:00:14+00,6.939999999999998,4.41
2026-05-04 09:00:15+00,6.930000000000007,3.322
2026-05-04 09:00:16+00,6.930000000000007,3.824
2026-05-04 09:00:17+00,6.939999999999998,3.871
2026-05-04 09:00:18+00,6.930000000000007,4.199
2026-05-04 09:00:19+00,6.930000000000007,3.877
2026-05-04 09:00:20+00,6.930000000000007,4.168
2026-05-04 09:00:21+00,6.920000000000016,4.159
2026-05-04 09:00:22+00,6.930000000000007,3.876
2026-05-04 09:00:23+00,6.910000000000025,4.218
2026-05-04 09:00:24+00,6.920000000000016,4.43
2026-05-04 09:00:25+00,6.910000000000025,4.43
2026-05-04 09:00:26+00,6.900000000000034,4.421
2026-05-04 09:00:27+00,6.900000000000034,5.04
2026-05-04 09:00:28+00,6.890000000000043,5.532
2026-05-04 09:00:29+00,6.890000000000043,5.531
2026-05-04 09:00:30+00,6.8799999999999955,6.635
2026-05-04 09:00:31+00,6.8700000000000045,6.635
2026-05-04 09:00:32+00,6.8700000000000045,6.635
