time,Channel 1,Pin 1 Duty Cycle,Pin 1 Power (W)
2026-03-24 17:20:25+00,281.19,91.99999999999591,23.183999999998967
2026-03-24 17:20:30+00,281.23,85.99999999999454,21.671999999998626
2026-03-24 17:20:35+00,281.28799999999995,74.399999999996,18.74879999999899
2026-03-24 17:20:40+00,281.34000000000003,62.39999999999554,15.724799999998876
2026-03-24 17:20:45+00,281.392,51.99999999999591,13.103999999998967
2026-03-24 17:20:50+00,281.438,43.199999999994816,10.886399999998693
2026-03-24 17:20:55+00,281.47200000000004,36.799999999993815,9.273599999998442
2026-03-24 17:21:00+00,281.496,30.799999999994725,7.761599999998671
2026-03-24 17:21:05+00,281.51,27.99999999999727,7.055999999999313
2026-03-24 17:21:10+00,281.51,27.99999999999727,7.055999999999313
2026-03-24 17:21:15+00,281.502,29.19999999999618,7.358399999999037
2026-03-24 17:21:20+00,281.48,33.19999999999254,8.366399999998121
2026-03-24 17:21:25+00,281.45400000000006,39.19999999999618,9.878399999999036
2026-03-24 17:21:30+00,281.41999999999996,45.99999999999454,11.591999999998626
2026-03-24 17:21:35+00,281.37399999999997,54.399999999996,13.708799999998991
2026-03-24 17:21:40+00,281.328,62.79999999999745,15.825599999999358
2026-03-24 17:21:45+00,281.274,73.19999999999482,18.446399999998693
2026-03-24 17:21:50+00,281.23,83.19999999999254,20.96639999999812
2026-03-24 17:21:55+00,281.184,93.19999999999482,23.48639999999869
2026-03-24 17:22:00+00,281.13800000000003,98.79999999999654,24.89759999999913
2026-03-24 17:22:05+00,281.104,100,25.2
2026-03-24 17:22:10+00,281.078,100,25.2
2026-03-24 17:22:15+00,281.062,100,25.2
2026-03-24 17:22:20+00,281.06,100,25.2
2026-03-24 17:22:25+00,281.06,100,25.2
2026-03-24 17:22:30+00,281.06399999999996,100,25.2
2026-03-24 17:22:35+00,281.08,100,25.2
2026-03-24 17:22:40+00,281.09399999999994,100,25.2
2026-03-24 17:22:45+00,281.116,100,25.2
2026-03-24 17:22:50+00,281.13800000000003,100,25.2
2026-03-24 17:22:55+00,281.168,97.59999999999309,24.595199999998254
2026-03-24 17:23:00+00,281.194,91.19999999999663,22.982399999999153
2026-03-24 17:23:05+00,281.228,85.99999999999454,21.671999999998622
2026-03-24 17:23:10+00,281.262,79.19999999999618,19.95839999999904
2026-03-24 17:23:15+00,281.294,71.59999999999627,18.043199999999057
2026-03-24 17:23:20+00,281.32399999999996,65.19999999999754,16.43039999999938
2026-03-24 17:23:25+00,281.35200000000003,59.99999999999318,15.119999999998281
2026-03-24 17:23:30+00,281.378,55.19999999999527,13.910399999998807
2026-03-24 17:23:35+00,281.398,50.79999999999927,12.801599999999818
2026-03-24 17:23:40+00,281.41200000000003,47.599999999990814,11.995199999997684
2026-03-24 17:23:45+00,281.42,45.99999999999227,11.591999999998052
2026-03-24 17:23:50+00,281.41200000000003,47.19999999999118,11.894399999997777
2026-03-24 17:23:55+00,281.404,48.79999999999427,12.297599999998557
2026-03-24 17:24:00+00,281.38199999999995,52.79999999999745,13.305599999999359
2026-03-24 17:24:05+00,281.358,58.39999999999236,14.716799999998074
2026-03-24 17:24:10+00,281.32399999999996,64.39999999999827,16.228799999999563
2026-03-24 17:24:15+00,281.29200000000003,70.79999999999472,17.84159999999867
2026-03-24 17:24:20+00,281.258,77.59999999999764,19.555199999999406
2026-03-24 17:24:25+00,281.22400000000005,85.5999999999949,21.57119999999872
2026-03-24 17:24:30+00,281.19,91.99999999999591,23.183999999998967
2026-03-24 17:24:35+00,281.15600000000006,97.19999999999345,24.49439999999835
2026-03-24 17:24:40+00,281.13800000000003,100,25.2
2026-03-24 17:24:45+00,281.122,100,25.2
2026-03-24 17:24:50+00,281.11400000000003,100,25.2
2026-03-24 17:24:55+00,281.11400000000003,100,25.2
2026-03-24 17:25:00+00,281.11800000000005,100,25.2
2026-03-24 17:25:05+00,281.13,100,25.2
2026-03-24 17:25:10+00,281.14399999999995,100,25.2
2026-03-24 17:25:15+00,281.16600000000005,97.59999999999081,24.595199999997682
2026-03-24 17:25:20+00,281.184,93.99999999999409,23.68799999999851
2026-03-24 17:25:25+00,281.20799999999997,89.19999999999845,22.478399999999613
2026-03-24 17:25:30+00,281.23,83.99999999999181,21.167999999997935
2026-03-24 17:25:35+00,281.258,78.39999999999691,19.75679999999922
2026-03-24 17:25:40+00,281.28,74.80000000000018,18.849600000000045
2026-03-24 17:25:45+00,281.3,70.39999999999281,17.74079999999819
2026-03-24 17:25:50+00,281.316,66.79999999999609,16.833599999999013
2026-03-24 17:25:55+00,281.33399999999995,63.599999999999,16.027199999999745
2026-03-24 17:26:00+00,281.342,62.000000000000455,15.624000000000114
2026-03-24 17:26:05+00,281.35,59.999999999990905,15.119999999997708
2026-03-24 17:26:10+00,281.35,59.999999999990905,15.119999999997708
2026-03-24 17:26:15+00,281.348,61.199999999996635,15.422399999999152
2026-03-24 17:26:20+00,281.33599999999996,62.79999999999973,15.825599999999932
2026-03-24 17:26:25+00,281.322,64.79999999999791,16.32959999999947
2026-03-24 17:26:30+00,281.304,68.79999999999427,17.337599999998552
2026-03-24 17:26:35+00,281.284,72.39999999999554,18.24479999999887
2026-03-24 17:26:40+00,281.262,77.59999999999764,19.555199999999406
2026-03-24 17:26:45+00,281.238,81.99999999999363,20.663999999998396
2026-03-24 17:26:50+00,281.216,85.99999999999227,21.671999999998054
2026-03-24 17:26:55+00,281.196,90.799999999997,22.881599999999246
2026-03-24 17:27:00+00,281.178,93.19999999999482,23.486399999998692
2026-03-24 17:27:05+00,281.168,96.79999999999154,24.393599999997868
2026-03-24 17:27:10+00,281.16200000000003,97.19999999999118,24.494399999997775
2026-03-24 17:27:15+00,281.16400000000004,97.59999999999081,24.595199999997682
2026-03-24 17:27:20+00,281.17,96.3999999999919,24.29279999999796
