time,Thermo Ch 5,Heater Ch 1
2026-04-20 02:18:00+00,5.140000000000043,0
2026-04-20 02:18:01+00,5.100000000000023,0
2026-04-20 02:18:02+00,5.100000000000023,0
2026-04-20 02:18:03+00,5.110000000000014,0
2026-04-20 02:18:04+00,5.100000000000023,0
2026-04-20 02:18:05+00,5.090000000000032,0
2026-04-20 02:18:06+00,5.090000000000032,0
2026-04-20 02:18:07+00,5.07000000000005,0
2026-04-20 02:18:08+00,5.060000000000002,0
2026-04-20 02:18:09+00,5.07000000000005,0
2026-04-20 02:18:10+00,5.050000000000011,0
2026-04-20 02:18:11+00,5.0400000000000205,0
2026-04-20 02:18:12+00,5.03000000000003,0
2026-04-20 02:18:13+00,5.03000000000003,0
2026-04-20 02:18:14+00,5.010000000000048,0
2026-04-20 02:18:15+00,5,0
2026-04-20 02:18:16+00,5,0
2026-04-20 02:18:17+00,4.980000000000018,0
2026-04-20 02:18:18+00,4.980000000000018,0
2026-04-20 02:18:19+00,4.960000000000036,3.4999999999968168
2026-04-20 02:18:20+00,4.939999999999998,0
2026-04-20 02:18:21+00,4.920000000000016,0
2026-04-20 02:18:22+00,4.910000000000025,6.999999999998607
2026-04-20 02:18:23+00,4.920000000000016,0
2026-04-20 02:18:24+00,4.900000000000034,0
2026-04-20 02:18:25+00,4.8799999999999955,0
2026-04-20 02:18:26+00,4.8700000000000045,0
2026-04-20 02:18:27+00,4.8700000000000045,0
2026-04-20 02:18:28+00,4.850000000000023,0
2026-04-20 02:18:29+00,4.830000000000041,0
2026-04-20 02:18:30+00,4.810000000000002,0
2026-04-20 02:18:31+00,4.7900000000000205,0
2026-04-20 02:18:32+00,4.800000000000011,0
2026-04-20 02:18:33+00,4.770000000000039,0
2026-04-20 02:18:34+00,4.770000000000039,0
2026-04-20 02:18:35+00,4.75,0
2026-04-20 02:18:36+00,4.760000000000048,0
2026-04-20 02:18:37+00,4.740000000000009,21.875
2026-04-20 02:18:38+00,4.730000000000018,21.875
2026-04-20 02:18:39+00,4.720000000000027,0
2026-04-20 02:18:40+00,4.720000000000027,0
2026-04-20 02:18:41+00,4.710000000000036,0
2026-04-20 02:18:42+00,4.720000000000027,0
2026-04-20 02:18:43+00,4.7000000000000455,0
2026-04-20 02:18:44+00,4.689999999999998,0
2026-04-20 02:18:45+00,4.7000000000000455,0
2026-04-20 02:18:46+00,4.7000000000000455,0
2026-04-20 02:18:47+00,4.7000000000000455,0
2026-04-20 02:18:48+00,4.680000000000007,0
2026-04-20 02:18:49+00,4.689999999999998,0
2026-04-20 02:18:50+00,4.689999999999998,0
2026-04-20 02:18:51+00,4.680000000000007,0
2026-04-20 02:18:52+00,4.689999999999998,0
2026-04-20 02:18:53+00,4.689999999999998,0
2026-04-20 02:18:54+00,4.7000000000000455,0
2026-04-20 02:18:55+00,4.7000000000000455,0
2026-04-20 02:18:56+00,4.7000000000000455,0
2026-04-20 02:18:57+00,4.710000000000036,0
2026-04-20 02:18:58+00,4.7000000000000455,25
2026-04-20 02:18:59+00,4.730000000000018,0
2026-04-20 02:19:00+00,4.720000000000027,0
2026-04-20 02:19:01+00,4.730000000000018,22.749999999999204
2026-04-20 02:19:02+00,4.730000000000018,0
2026-04-20 02:19:03+00,4.75,0
2026-04-20 02:19:04+00,4.740000000000009,22.749999999999204
2026-04-20 02:19:05+00,4.770000000000039,0
2026-04-20 02:19:06+00,4.760000000000048,0
2026-04-20 02:19:07+00,4.770000000000039,18.37499999999821
2026-04-20 02:19:08+00,4.800000000000011,0
2026-04-20 02:19:09+00,4.82000000000005,0
2026-04-20 02:19:10+00,4.810000000000002,16.6249999999998
2026-04-20 02:19:11+00,4.82000000000005,0
2026-04-20 02:19:12+00,4.830000000000041,0
2026-04-20 02:19:13+00,4.8700000000000045,13.999999999997215
2026-04-20 02:19:14+00,4.850000000000023,0
2026-04-20 02:19:15+00,4.8700000000000045,0
2026-04-20 02:19:16+00,4.890000000000043,11.374999999999602
2026-04-20 02:19:17+00,4.910000000000025,0
2026-04-20 02:19:18+00,4.910000000000025,0
2026-04-20 02:19:19+00,4.920000000000016,6.999999999998607
2026-04-20 02:19:20+00,4.939999999999998,0
2026-04-20 02:19:21+00,4.939999999999998,0
2026-04-20 02:19:22+00,4.970000000000027,4.374999999996021
2026-04-20 02:19:23+00,4.970000000000027,0
2026-04-20 02:19:24+00,4.980000000000018,0
2026-04-20 02:19:25+00,4.980000000000018,0
2026-04-20 02:19:26+00,5.020000000000039,0
2026-04-20 02:19:27+00,5.020000000000039,0
2026-04-20 02:19:28+00,5.010000000000048,0
2026-04-20 02:19:29+00,5.010000000000048,0
2026-04-20 02:19:30+00,5.0400000000000205,0
2026-04-20 02:19:31+00,5.03000000000003,0
2026-04-20 02:19:32+00,5.03000000000003,0
2026-04-20 02:19:33+00,5.0400000000000205,0
2026-04-20 02:19:34+00,5.03000000000003,0
2026-04-20 02:19:35+00,5.0400000000000205,0
2026-04-20 02:19:36+00,5.050000000000011,0
2026-04-20 02:19:37+00,5.03000000000003,0
2026-04-20 02:19:38+00,5.0400000000000205,0
2026-04-20 02:19:39+00,5.03000000000003,0
2026-04-20 02:19:40+00,5.050000000000011,0
2026-04-20 02:19:41+00,5.050000000000011,0
2026-04-20 02:19:42+00,5.03000000000003,0
2026-04-20 02:19:43+00,5.020000000000039,0
2026-04-20 02:19:44+00,5.020000000000039,0
2026-04-20 02:19:45+00,5.03000000000003,0
2026-04-20 02:19:46+00,5.010000000000048,0
2026-04-20 02:19:47+00,5,0
2026-04-20 02:19:48+00,5.010000000000048,0
2026-04-20 02:19:49+00,4.990000000000009,0
2026-04-20 02:19:50+00,4.970000000000027,0
2026-04-20 02:19:51+00,4.970000000000027,0
2026-04-20 02:19:52+00,4.970000000000027,0
2026-04-20 02:19:53+00,4.960000000000036,0
2026-04-20 02:19:54+00,4.9500000000000455,0
2026-04-20 02:19:55+00,4.939999999999998,0
2026-04-20 02:19:56+00,4.930000000000007,0
2026-04-20 02:19:57+00,4.920000000000016,0
2026-04-20 02:19:58+00,4.890000000000043,0
2026-04-20 02:19:59+00,4.890000000000043,9.62499999999622
2026-04-20 02:20:00+00,4.890000000000043,0
2026-04-20 02:20:01+00,4.8799999999999955,0
2026-04-20 02:20:02+00,4.860000000000014,10.500000000000398
2026-04-20 02:20:03+00,4.860000000000014,0
2026-04-20 02:20:04+00,4.850000000000023,0
2026-04-20 02:20:05+00,4.830000000000041,14.874999999996419
2026-04-20 02:20:06+00,4.82000000000005,0
2026-04-20 02:20:07+00,4.810000000000002,0
2026-04-20 02:20:08+00,4.800000000000011,18.37499999999821
2026-04-20 02:20:09+00,4.78000000000003,0
2026-04-20 02:20:10+00,4.770000000000039,0
2026-04-20 02:20:11+00,4.760000000000048,20.999999999995822
2026-04-20 02:20:12+00,4.75,0
