time,Thermo Ch 5,Heater Ch 1
2026-05-06 08:03:00+00,9.680000000000007,0
2026-05-06 08:03:01+00,9.670000000000016,0
2026-05-06 08:03:02+00,9.680000000000007,23.46
2026-05-06 08:03:03+00,9.670000000000016,23.976
2026-05-06 08:03:04+00,9.680000000000007,23.916
2026-05-06 08:03:05+00,9.700000000000045,23.88
2026-05-06 08:03:06+00,9.740000000000009,23.832
2026-05-06 08:03:07+00,9.800000000000011,20.174
2026-05-06 08:03:08+00,9.879999999999995,12.621
2026-05-06 08:03:09+00,9.970000000000027,6.682
2026-05-06 08:03:10+00,10.080000000000041,0
2026-05-06 08:03:11+00,10.180000000000007,0
2026-05-06 08:03:12+00,10.270000000000039,0
2026-05-06 08:03:13+00,10.360000000000014,0
2026-05-06 08:03:14+00,10.430000000000007,0
2026-05-06 08:03:15+00,10.490000000000009,0.842
2026-05-06 08:03:16+00,10.54000000000002,8.316
2026-05-06 08:03:17+00,10.57000000000005,8.255
2026-05-06 08:03:18+00,10.600000000000023,15.772
2026-05-06 08:03:19+00,10.640000000000043,15.774
2026-05-06 08:03:20+00,10.670000000000016,15.685
2026-05-06 08:03:21+00,10.720000000000027,19.409
2026-05-06 08:03:22+00,10.770000000000039,12.945
2026-05-06 08:03:23+00,10.830000000000041,15.695
2026-05-06 08:03:24+00,10.879999999999995,9.335
2026-05-06 08:03:25+00,10.950000000000045,4.268
2026-05-06 08:03:26+00,11.020000000000039,3.599
2026-05-06 08:03:27+00,11.090000000000032,3.971
2026-05-06 08:03:28+00,11.160000000000025,0
2026-05-06 08:03:29+00,11.210000000000036,0.55
2026-05-06 08:03:30+00,11.25,6.626
2026-05-06 08:03:31+00,11.29000000000002,5.078
2026-05-06 08:03:32+00,11.32000000000005,3.66
2026-05-06 08:03:33+00,11.350000000000023,19.909
2026-05-06 08:03:34+00,11.379999999999995,13.285
2026-05-06 08:03:35+00,11.400000000000034,16.254
2026-05-06 08:03:36+00,11.439999999999998,19.814
2026-05-06 08:03:37+00,11.490000000000009,14.234
2026-05-06 08:03:38+00,11.53000000000003,8.512
2026-05-06 08:03:39+00,11.590000000000032,11.86
2026-05-06 08:03:40+00,11.640000000000043,4.414
2026-05-06 08:03:41+00,11.700000000000045,0
2026-05-06 08:03:42+00,11.75,0
2026-05-06 08:03:43+00,11.800000000000011,2.911
2026-05-06 08:03:44+00,11.840000000000032,4.288
2026-05-06 08:03:45+00,11.879999999999995,6.772
2026-05-06 08:03:46+00,11.900000000000034,10.968
2026-05-06 08:03:47+00,11.920000000000016,13.188
2026-05-06 08:03:48+00,11.939999999999998,14.142
2026-05-06 08:03:49+00,11.970000000000027,16.743
2026-05-06 08:03:50+00,12,15.764
2026-05-06 08:03:51+00,12.04000000000002,12.721
2026-05-06 08:03:52+00,12.07000000000005,12.6
2026-05-06 08:03:53+00,12.129999999999995,7.313
2026-05-06 08:03:54+00,12.170000000000016,4.387
2026-05-06 08:03:55+00,12.210000000000036,3.971
