time,Thermo Ch 5,Heater Ch 1
2026-05-05 17:15:20+00,2.3700000000000045,0
2026-05-05 17:15:21+00,2.3700000000000045,0
2026-05-05 17:15:22+00,2.3600000000000136,0
2026-05-05 17:15:23+00,2.3500000000000227,0
2026-05-05 17:15:24+00,2.330000000000041,0
2026-05-05 17:15:25+00,2.32000000000005,0
2026-05-05 17:15:26+00,2.32000000000005,0
2026-05-05 17:15:27+00,2.3100000000000023,0
2026-05-05 17:15:28+00,2.3000000000000114,0
2026-05-05 17:15:29+00,2.2800000000000296,0
2026-05-05 17:15:30+00,2.2700000000000387,0
2026-05-05 17:15:31+00,2.2600000000000477,0
2026-05-05 17:15:32+00,2.2600000000000477,0
2026-05-05 17:15:33+00,2.25,0
2026-05-05 17:15:34+00,2.240000000000009,0
2026-05-05 17:15:35+00,2.230000000000018,0
2026-05-05 17:15:36+00,2.230000000000018,0
2026-05-05 17:15:37+00,2.2100000000000364,0
2026-05-05 17:15:38+00,2.2100000000000364,0
2026-05-05 17:15:39+00,2.1899999999999977,0
2026-05-05 17:15:40+00,2.1899999999999977,0
2026-05-05 17:15:41+00,2.180000000000007,0
2026-05-05 17:15:42+00,2.160000000000025,0
2026-05-05 17:15:43+00,2.160000000000025,0
2026-05-05 17:15:44+00,2.150000000000034,0
2026-05-05 17:15:45+00,2.1299999999999955,0
2026-05-05 17:15:46+00,2.1299999999999955,0
2026-05-05 17:15:47+00,2.1200000000000045,0
2026-05-05 17:15:48+00,2.1100000000000136,0
2026-05-05 17:15:49+00,2.1000000000000227,0
2026-05-05 17:15:50+00,2.090000000000032,0
2026-05-05 17:15:51+00,2.080000000000041,0
2026-05-05 17:15:52+00,2.07000000000005,0
2026-05-05 17:15:53+00,2.0600000000000023,0
2026-05-05 17:15:54+00,2.0400000000000205,0
2026-05-05 17:15:55+00,2.0400000000000205,0
2026-05-05 17:15:56+00,2.0300000000000296,0
2026-05-05 17:15:57+00,2.0200000000000387,0
2026-05-05 17:15:58+00,2.0100000000000477,0
2026-05-05 17:15:59+00,2,0
2026-05-05 17:16:00+00,2,0
2026-05-05 17:16:01+00,1.990000000000009,0
2026-05-05 17:16:02+00,1.9800000000000182,0
2026-05-05 17:16:03+00,1.9700000000000273,0
2026-05-05 17:16:04+00,1.9700000000000273,48.696
2026-05-05 17:16:05+00,1.9600000000000364,48.576
2026-05-05 17:16:06+00,1.9600000000000364,48.492
2026-05-05 17:16:07+00,1.9800000000000182,48.372
2026-05-05 17:16:08+00,2.0300000000000296,47.501
2026-05-05 17:16:09+00,2.090000000000032,30.321
2026-05-05 17:16:10+00,2.170000000000016,24.564
2026-05-05 17:16:11+00,2.25,16.541
2026-05-05 17:16:12+00,2.340000000000032,0
2026-05-05 17:16:13+00,2.430000000000007,0
2026-05-05 17:16:14+00,2.5100000000000477,0
2026-05-05 17:16:15+00,2.6000000000000227,0
2026-05-05 17:16:16+00,2.640000000000043,0
2026-05-05 17:16:17+00,2.7100000000000364,5.347
2026-05-05 17:16:18+00,2.7600000000000477,15.844
2026-05-05 17:16:19+00,2.7800000000000296,39.153
2026-05-05 17:16:20+00,2.830000000000041,39.104
2026-05-05 17:16:21+00,2.8500000000000227,34.935
2026-05-05 17:16:22+00,2.910000000000025,32.47
2026-05-05 17:16:23+00,2.9500000000000455,26.646
2026-05-05 17:16:24+00,3.0100000000000477,31.182
2026-05-05 17:16:25+00,3.080000000000041,15.493
2026-05-05 17:16:26+00,3.170000000000016,25.316
2026-05-05 17:16:27+00,3.25,0
2026-05-05 17:16:28+00,3.3000000000000114,0
2026-05-05 17:16:29+00,3.3700000000000045,0.075
2026-05-05 17:16:30+00,3.420000000000016,0
2026-05-05 17:16:31+00,3.490000000000009,0.017
2026-05-05 17:16:32+00,3.5,21.499
2026-05-05 17:16:33+00,3.5600000000000023,34.615
2026-05-05 17:16:34+00,3.57000000000005,28.229
2026-05-05 17:16:35+00,3.6200000000000045,35.435
2026-05-05 17:16:36+00,3.640000000000043,25.021
