time,Thermo Ch 5,Heater Ch 1
2026-05-05 17:36:07+00,5.090000000000032,0
2026-05-05 17:36:08+00,5.090000000000032,0
2026-05-05 17:36:09+00,5.090000000000032,0
2026-05-05 17:36:10+00,5.100000000000023,0
2026-05-05 17:36:11+00,5.080000000000041,0
2026-05-05 17:36:12+00,5.100000000000023,0
2026-05-05 17:36:13+00,5.080000000000041,0
2026-05-05 17:36:14+00,5.100000000000023,0
2026-05-05 17:36:15+00,5.090000000000032,0
2026-05-05 17:36:16+00,5.100000000000023,0
2026-05-05 17:36:17+00,5.090000000000032,0
2026-05-05 17:36:18+00,5.100000000000023,0
2026-05-05 17:36:19+00,5.080000000000041,0
2026-05-05 17:36:20+00,5.100000000000023,0
2026-05-05 17:36:21+00,5.080000000000041,0
2026-05-05 17:36:22+00,5.090000000000032,0
2026-05-05 17:36:23+00,5.090000000000032,0
2026-05-05 17:36:24+00,5.090000000000032,0
2026-05-05 17:36:25+00,5.080000000000041,0
2026-05-05 17:36:26+00,5.090000000000032,0
2026-05-05 17:36:27+00,5.080000000000041,0
2026-05-05 17:36:28+00,5.090000000000032,0
2026-05-05 17:36:29+00,5.080000000000041,0
2026-05-05 17:36:30+00,5.080000000000041,0
2026-05-05 17:36:31+00,5.080000000000041,0
2026-05-05 17:36:32+00,5.07000000000005,0
2026-05-05 17:36:33+00,5.090000000000032,0
2026-05-05 17:36:34+00,5.07000000000005,0
2026-05-05 17:36:35+00,5.080000000000041,0
2026-05-05 17:36:36+00,5.07000000000005,0
2026-05-05 17:36:37+00,5.07000000000005,0
2026-05-05 17:36:38+00,5.080000000000041,0
2026-05-05 17:36:39+00,5.07000000000005,0
2026-05-05 17:36:40+00,5.080000000000041,0
2026-05-05 17:36:41+00,5.060000000000002,0
2026-05-05 17:36:42+00,5.080000000000041,0
2026-05-05 17:36:43+00,5.060000000000002,0
2026-05-05 17:36:44+00,5.07000000000005,0
2026-05-05 17:36:45+00,5.07000000000005,0
2026-05-05 17:36:46+00,5.060000000000002,0
2026-05-05 17:36:47+00,5.07000000000005,0
2026-05-05 17:36:48+00,5.050000000000011,0
2026-05-05 17:36:49+00,5.07000000000005,0
2026-05-05 17:36:50+00,5.060000000000002,0
2026-05-05 17:36:51+00,5.060000000000002,48.288
2026-05-05 17:36:52+00,5.07000000000005,48.216
2026-05-05 17:36:53+00,5.080000000000041,48.12
2026-05-05 17:36:54+00,5.1200000000000045,48
2026-05-05 17:36:55+00,5.170000000000016,39.215
2026-05-05 17:36:56+00,5.230000000000018,23.366
2026-05-05 17:36:57+00,5.330000000000041,23.08
2026-05-05 17:36:58+00,5.400000000000034,0
2026-05-05 17:36:59+00,5.5,0
2026-05-05 17:37:00+00,5.590000000000032,0.013
2026-05-05 17:37:01+00,5.670000000000016,0
2026-05-05 17:37:02+00,5.75,0.008
2026-05-05 17:37:03+00,5.800000000000011,9.798
2026-05-05 17:37:04+00,5.8700000000000045,9.85
2026-05-05 17:37:05+00,5.900000000000034,9.501
2026-05-05 17:37:06+00,5.9500000000000455,38.886
2026-05-05 17:37:07+00,6.010000000000048,25.342
2026-05-05 17:37:08+00,6.03000000000003,30.137
2026-05-05 17:37:09+00,6.07000000000005,36.09
2026-05-05 17:37:10+00,6.1200000000000045,20.623
2026-05-05 17:37:11+00,6.2000000000000455,10.973
2026-05-05 17:37:12+00,6.230000000000018,13.582
2026-05-05 17:37:13+00,6.32000000000005,0
2026-05-05 17:37:14+00,6.390000000000043,0
2026-05-05 17:37:15+00,6.420000000000016,0.094
2026-05-05 17:37:16+00,6.510000000000048,19.563
2026-05-05 17:37:17+00,6.550000000000011,5.748
2026-05-05 17:37:18+00,6.610000000000014,11.963
2026-05-05 17:37:19+00,6.640000000000043,18.573
2026-05-05 17:37:20+00,6.689999999999998,18.668
2026-05-05 17:37:21+00,6.720000000000027,32.74
2026-05-05 17:37:22+00,6.760000000000048,19.728
2026-05-05 17:37:23+00,6.810000000000002,24.688
2026-05-05 17:37:24+00,6.830000000000041,18.113
2026-05-05 17:37:25+00,6.900000000000034,38.236
