time,Thermo Ch 5,Heater Ch 1
2026-05-05 12:11:00+00,4.060000000000002,0
2026-05-05 12:11:01+00,4.0400000000000205,0
2026-05-05 12:11:02+00,4.050000000000011,0
2026-05-05 12:11:03+00,4.0400000000000205,0
2026-05-05 12:11:04+00,4.050000000000011,0
2026-05-05 12:11:05+00,4.0400000000000205,0
2026-05-05 12:11:06+00,4.03000000000003,0
2026-05-05 12:11:07+00,4.050000000000011,0
2026-05-05 12:11:08+00,4.03000000000003,0
2026-05-05 12:11:09+00,4.03000000000003,0
2026-05-05 12:11:10+00,4.0400000000000205,0
2026-05-05 12:11:11+00,4.03000000000003,0
2026-05-05 12:11:12+00,4.020000000000039,0
2026-05-05 12:11:13+00,4.03000000000003,0
2026-05-05 12:11:14+00,4.0400000000000205,0
2026-05-05 12:11:15+00,4.03000000000003,0
2026-05-05 12:11:16+00,4.020000000000039,0
2026-05-05 12:11:17+00,4.03000000000003,0
2026-05-05 12:11:18+00,4.03000000000003,0
2026-05-05 12:11:19+00,4.03000000000003,0
2026-05-05 12:11:20+00,4.03000000000003,0
2026-05-05 12:11:21+00,4.020000000000039,0
2026-05-05 12:11:22+00,4.020000000000039,0
2026-05-05 12:11:23+00,4.020000000000039,0
2026-05-05 12:11:24+00,4.010000000000048,0
2026-05-05 12:11:25+00,4.010000000000048,0
2026-05-05 12:11:26+00,4.020000000000039,0
2026-05-05 12:11:27+00,4.020000000000039,0
2026-05-05 12:11:28+00,4.020000000000039,0
2026-05-05 12:11:29+00,4.03000000000003,0
2026-05-05 12:11:30+00,4.020000000000039,0
2026-05-05 12:11:31+00,4.03000000000003,0
2026-05-05 12:11:32+00,4.020000000000039,0
2026-05-05 12:11:33+00,4.03000000000003,0
2026-05-05 12:11:34+00,4.020000000000039,0
2026-05-05 12:11:35+00,4.020000000000039,0
2026-05-05 12:11:36+00,4.010000000000048,0
2026-05-05 12:11:37+00,4.020000000000039,0
2026-05-05 12:11:38+00,4.020000000000039,0
2026-05-05 12:11:39+00,4.010000000000048,0
2026-05-05 12:11:40+00,4.010000000000048,0
2026-05-05 12:11:41+00,4.010000000000048,0
2026-05-05 12:11:42+00,4.010000000000048,0
2026-05-05 12:11:43+00,4.010000000000048,0
2026-05-05 12:11:44+00,4.010000000000048,0
2026-05-05 12:11:45+00,4.010000000000048,0
2026-05-05 12:11:46+00,4,0
2026-05-05 12:11:47+00,4,0
2026-05-05 12:11:48+00,4,0
2026-05-05 12:11:49+00,4,0
2026-05-05 12:11:50+00,4,19.666
2026-05-05 12:11:51+00,4,24.996
2026-05-05 12:11:52+00,4,24.444
2026-05-05 12:11:53+00,3.990000000000009,24.324
2026-05-05 12:11:54+00,3.990000000000009,24.348
2026-05-05 12:11:55+00,3.990000000000009,24.252
2026-05-05 12:11:56+00,3.990000000000009,24.204
2026-05-05 12:11:57+00,3.990000000000009,24.204
2026-05-05 12:11:58+00,3.990000000000009,24.168
2026-05-05 12:11:59+00,3.990000000000009,24.084
2026-05-05 12:12:00+00,3.990000000000009,24.12
2026-05-05 12:12:01+00,3.990000000000009,24.048
2026-05-05 12:12:02+00,3.990000000000009,24.036
2026-05-05 12:12:03+00,3.990000000000009,24.048
2026-05-05 12:12:04+00,3.990000000000009,23.952
2026-05-05 12:12:05+00,4,23.964
2026-05-05 12:12:06+00,4,23.916
2026-05-05 12:12:07+00,4.010000000000048,23.916
2026-05-05 12:12:08+00,4.020000000000039,23.952
2026-05-05 12:12:09+00,4.020000000000039,23.916
2026-05-05 12:12:10+00,4.03000000000003,23.868
2026-05-05 12:12:11+00,4.0400000000000205,23.892
2026-05-05 12:12:12+00,4.050000000000011,23.892
2026-05-05 12:12:13+00,4.060000000000002,23.928
2026-05-05 12:12:14+00,4.07000000000005,23.868
2026-05-05 12:12:15+00,4.080000000000041,23.808
2026-05-05 12:12:16+00,4.090000000000032,23.82
2026-05-05 12:12:17+00,4.100000000000023,23.892
2026-05-05 12:12:18+00,4.1200000000000045,23.82
2026-05-05 12:12:19+00,4.140000000000043,23.796
2026-05-05 12:12:20+00,4.150000000000034,23.82
2026-05-05 12:12:21+00,4.170000000000016,23.772
2026-05-05 12:12:22+00,4.180000000000007,23.784
2026-05-05 12:12:23+00,4.2000000000000455,23.736
2026-05-05 12:12:24+00,4.220000000000027,23.748
2026-05-05 12:12:25+00,4.230000000000018,23.82
2026-05-05 12:12:26+00,4.25,23.772
2026-05-05 12:12:27+00,4.270000000000039,23.76
2026-05-05 12:12:28+00,4.2900000000000205,23.748
2026-05-05 12:12:29+00,4.32000000000005,23.772
2026-05-05 12:12:30+00,4.340000000000032,23.748
2026-05-05 12:12:31+00,4.360000000000014,23.724
2026-05-05 12:12:32+00,4.3799999999999955,23.724
2026-05-05 12:12:33+00,4.390000000000043,23.784
2026-05-05 12:12:34+00,4.420000000000016,23.772
2026-05-05 12:12:35+00,4.4500000000000455,23.724
2026-05-05 12:12:36+00,4.480000000000018,23.676
2026-05-05 12:12:37+00,4.5,23.7
2026-05-05 12:12:38+00,4.510000000000048,23.688
2026-05-05 12:12:39+00,4.53000000000003,23.724
2026-05-05 12:12:40+00,4.57000000000005,23.616
2026-05-05 12:12:41+00,4.590000000000032,23.64
2026-05-05 12:12:42+00,4.600000000000023,23.676
2026-05-05 12:12:43+00,4.640000000000043,23.688
2026-05-05 12:12:44+00,4.660000000000025,23.64
2026-05-05 12:12:45+00,4.670000000000016,23.664
2026-05-05 12:12:46+00,4.710000000000036,23.676
2026-05-05 12:12:47+00,4.730000000000018,23.7
2026-05-05 12:12:48+00,4.75,23.652
2026-05-05 12:12:49+00,4.78000000000003,23.64
2026-05-05 12:12:50+00,4.800000000000011,23.58
2026-05-05 12:12:51+00,4.830000000000041,23.592
2026-05-05 12:12:53+00,4.860000000000014,23.616
2026-05-05 12:12:54+00,4.8700000000000045,23.604
2026-05-05 12:12:55+00,4.910000000000025,23.712
2026-05-05 12:12:56+00,4.930000000000007,23.664
2026-05-05 12:12:57+00,4.9500000000000455,23.592
2026-05-05 12:12:58+00,4.980000000000018,23.568
2026-05-05 12:12:59+00,5,23.568
2026-05-05 12:13:00+00,5.020000000000039,23.58
2026-05-05 12:13:01+00,5.060000000000002,23.532
2026-05-05 12:13:02+00,5.080000000000041,23.544
2026-05-05 12:13:03+00,5.100000000000023,23.568
2026-05-05 12:13:04+00,5.1200000000000045,23.556
2026-05-05 12:13:05+00,5.160000000000025,23.532
2026-05-05 12:13:06+00,5.170000000000016,23.568
2026-05-05 12:13:07+00,5.189999999999998,23.508
2026-05-05 12:13:08+00,5.230000000000018,23.484
2026-05-05 12:13:09+00,5.240000000000009,23.458
2026-05-05 12:13:10+00,5.28000000000003,22.152
2026-05-05 12:13:11+00,5.300000000000011,23.544
2026-05-05 12:13:12+00,5.310000000000002,23.482
2026-05-05 12:13:13+00,5.340000000000032,21.763
2026-05-05 12:13:14+00,5.3799999999999955,23.532
2026-05-05 12:13:15+00,5.390000000000043,21.759
2026-05-05 12:13:16+00,5.410000000000025,22.692
2026-05-05 12:13:17+00,5.439999999999998,23.484
2026-05-05 12:13:18+00,5.470000000000027,23.52
2026-05-05 12:13:19+00,5.5,23.544
2026-05-05 12:13:20+00,5.510000000000048,23.52
2026-05-05 12:13:21+00,5.5400000000000205,23.012
2026-05-05 12:13:22+00,5.57000000000005,23.508
2026-05-05 12:13:23+00,5.600000000000023,23.41
2026-05-05 12:13:24+00,5.610000000000014,22.288
2026-05-05 12:13:25+00,5.6299999999999955,22.271
2026-05-05 12:13:26+00,5.660000000000025,22.134
2026-05-05 12:13:27+00,5.689999999999998,23.41
2026-05-05 12:13:28+00,5.710000000000036,21.602
2026-05-05 12:13:29+00,5.740000000000009,23.508
2026-05-05 12:13:30+00,5.760000000000048,22.139
2026-05-05 12:13:31+00,5.7900000000000205,22.589
2026-05-05 12:13:32+00,5.810000000000002,23.544
2026-05-05 12:13:33+00,5.830000000000041,23.544
2026-05-05 12:13:34+00,5.860000000000014,20.882
2026-05-05 12:13:35+00,5.8799999999999955,15.941
2026-05-05 12:13:36+00,5.900000000000034,23.242
2026-05-05 12:13:37+00,5.930000000000007,23.199
2026-05-05 12:13:38+00,5.9500000000000455,23.139
2026-05-05 12:13:39+00,5.970000000000027,20.068
2026-05-05 12:13:40+00,5.990000000000009,20.016
2026-05-05 12:13:41+00,6.010000000000048,22.995
2026-05-05 12:13:42+00,6.0400000000000205,22.971
2026-05-05 12:13:43+00,6.060000000000002,19.234
2026-05-05 12:13:44+00,6.090000000000032,22.73
2026-05-05 12:13:45+00,6.110000000000014,20.866
2026-05-05 12:13:46+00,6.1299999999999955,19.276
2026-05-05 12:13:47+00,6.160000000000025,21.167
2026-05-05 12:13:48+00,6.180000000000007,18.815
2026-05-05 12:13:49+00,6.2000000000000455,18.879
2026-05-05 12:13:50+00,6.220000000000027,22.231
2026-05-05 12:13:51+00,6.240000000000009,20.025
2026-05-05 12:13:52+00,6.270000000000039,18.398
2026-05-05 12:13:53+00,6.2900000000000205,22.021
2026-05-05 12:13:54+00,6.310000000000002,21.95
2026-05-05 12:13:55+00,6.330000000000041,21.861
2026-05-05 12:13:56+00,6.350000000000023,18.02
2026-05-05 12:13:57+00,6.3700000000000045,21.591
2026-05-05 12:13:58+00,6.390000000000043,23.518
2026-05-05 12:13:59+00,6.410000000000025,14.813
2026-05-05 12:14:00+00,6.420000000000016,17.66
2026-05-05 12:14:01+00,6.439999999999998,21.173
2026-05-05 12:14:02+00,6.480000000000018,18.306
2026-05-05 12:14:03+00,6.490000000000009,10.733
2026-05-05 12:14:04+00,6.510000000000048,20.233
2026-05-05 12:14:05+00,6.53000000000003,20.861
2026-05-05 12:14:06+00,6.5400000000000205,18.986
2026-05-05 12:14:07+00,6.560000000000002,16.84
2026-05-05 12:14:08+00,6.57000000000005,16.746
2026-05-05 12:14:09+00,6.590000000000032,16.21
2026-05-05 12:14:10+00,6.610000000000014,14.951
2026-05-05 12:14:11+00,6.6200000000000045,20.092
2026-05-05 12:14:12+00,6.640000000000043,19.975
2026-05-05 12:14:13+00,6.660000000000025,16.285
2026-05-05 12:14:14+00,6.670000000000016,16.156
2026-05-05 12:14:15+00,6.689999999999998,15.944
2026-05-05 12:14:16+00,6.7000000000000455,19.538
2026-05-05 12:14:17+00,6.720000000000027,15.998
2026-05-05 12:14:18+00,6.730000000000018,19.206
2026-05-05 12:14:19+00,6.75,15.607
2026-05-05 12:14:20+00,6.760000000000048,19.142
2026-05-05 12:14:21+00,6.78000000000003,15.581
2026-05-05 12:14:22+00,6.7900000000000205,15.225
2026-05-05 12:14:23+00,6.810000000000002,18.737
2026-05-05 12:14:24+00,6.82000000000005,16.093
2026-05-05 12:14:25+00,6.830000000000041,16.914
2026-05-05 12:14:26+00,6.850000000000023,15.455
2026-05-05 12:14:27+00,6.860000000000014,16.515
2026-05-05 12:14:28+00,6.8700000000000045,18.367
2026-05-05 12:14:29+00,6.8799999999999955,16.475
2026-05-05 12:14:30+00,6.900000000000034,15.448
2026-05-05 12:14:31+00,6.910000000000025,17.981
2026-05-05 12:14:32+00,6.920000000000016,18.1
2026-05-05 12:14:33+00,6.930000000000007,17.614
2026-05-05 12:14:34+00,6.939999999999998,14.321
2026-05-05 12:14:35+00,6.9500000000000455,17.449
2026-05-05 12:14:36+00,6.960000000000036,17.409
2026-05-05 12:14:37+00,6.980000000000018,17.32
2026-05-05 12:14:38+00,6.980000000000018,17.21
2026-05-05 12:14:39+00,6.990000000000009,17.116
2026-05-05 12:14:40+00,7.010000000000048,17.034
2026-05-05 12:14:41+00,7.010000000000048,14.844
2026-05-05 12:14:42+00,7.020000000000039,18.755
2026-05-05 12:14:43+00,7.03000000000003,16.998
2026-05-05 12:14:44+00,7.0400000000000205,16.728
2026-05-05 12:14:45+00,7.050000000000011,15.077
2026-05-05 12:14:46+00,7.07000000000005,17.806
2026-05-05 12:14:47+00,7.080000000000041,18.05
2026-05-05 12:14:48+00,7.080000000000041,15.778
2026-05-05 12:14:49+00,7.090000000000032,13.444
2026-05-05 12:14:50+00,7.100000000000023,15.902
2026-05-05 12:14:51+00,7.110000000000014,15.811
2026-05-05 12:14:52+00,7.1200000000000045,15.764
2026-05-05 12:14:53+00,7.1299999999999955,15.538
2026-05-05 12:14:54+00,7.140000000000043,15.295
2026-05-05 12:14:55+00,7.150000000000034,15.211
2026-05-05 12:14:56+00,7.160000000000025,15.045
2026-05-05 12:14:57+00,7.170000000000016,14.998
2026-05-05 12:14:58+00,7.170000000000016,14.843
2026-05-05 12:14:59+00,7.180000000000007,18.373
2026-05-05 12:15:00+00,7.189999999999998,17.521
