time,Thermo Ch 5,Heater Ch 1
2026-05-05 18:07:14+00,2.4399999999999977,0
2026-05-05 18:07:15+00,2.420000000000016,0
2026-05-05 18:07:16+00,2.4399999999999977,0
2026-05-05 18:07:17+00,2.420000000000016,0
2026-05-05 18:07:18+00,2.430000000000007,0
2026-05-05 18:07:19+00,2.430000000000007,0
2026-05-05 18:07:20+00,2.420000000000016,0
2026-05-05 18:07:21+00,2.4399999999999977,0
2026-05-05 18:07:22+00,2.430000000000007,0
2026-05-05 18:07:23+00,2.430000000000007,0
2026-05-05 18:07:24+00,2.4399999999999977,0
2026-05-05 18:07:25+00,2.420000000000016,0
2026-05-05 18:07:26+00,2.430000000000007,0
2026-05-05 18:07:27+00,2.430000000000007,0
2026-05-05 18:07:28+00,2.420000000000016,0
2026-05-05 18:07:29+00,2.4399999999999977,0
2026-05-05 18:07:30+00,2.420000000000016,0
2026-05-05 18:07:31+00,2.4399999999999977,0
2026-05-05 18:07:32+00,2.430000000000007,0
2026-05-05 18:07:33+00,2.430000000000007,0
2026-05-05 18:07:34+00,2.430000000000007,0
2026-05-05 18:07:35+00,2.420000000000016,0
2026-05-05 18:07:36+00,2.4399999999999977,0
2026-05-05 18:07:37+00,2.430000000000007,0
2026-05-05 18:07:38+00,2.430000000000007,0
2026-05-05 18:07:39+00,2.4399999999999977,0
2026-05-05 18:07:40+00,2.420000000000016,0
2026-05-05 18:07:41+00,2.4399999999999977,0
2026-05-05 18:07:42+00,2.420000000000016,0
2026-05-05 18:07:43+00,2.4399999999999977,0
2026-05-05 18:07:44+00,2.420000000000016,0
2026-05-05 18:07:45+00,2.4399999999999977,0
2026-05-05 18:07:46+00,2.420000000000016,0
2026-05-05 18:07:47+00,2.430000000000007,0
2026-05-05 18:07:48+00,2.420000000000016,0
2026-05-05 18:07:49+00,2.430000000000007,0
2026-05-05 18:07:50+00,2.420000000000016,0
2026-05-05 18:07:51+00,2.430000000000007,0
2026-05-05 18:07:52+00,2.420000000000016,0
2026-05-05 18:07:53+00,2.430000000000007,0
2026-05-05 18:07:54+00,2.4399999999999977,0
2026-05-05 18:07:55+00,2.420000000000016,0
2026-05-05 18:07:56+00,2.430000000000007,0
2026-05-05 18:07:57+00,2.4399999999999977,0
2026-05-05 18:07:58+00,2.420000000000016,48.66
2026-05-05 18:07:59+00,2.4399999999999977,48.636
2026-05-05 18:08:00+00,2.4399999999999977,48.48
2026-05-05 18:08:01+00,2.4700000000000273,48.086
2026-05-05 18:08:02+00,2.5200000000000387,45.359
2026-05-05 18:08:03+00,2.57000000000005,47.718
2026-05-05 18:08:04+00,2.660000000000025,0
2026-05-05 18:08:05+00,2.75,0
2026-05-05 18:08:06+00,2.840000000000032,0
2026-05-05 18:08:07+00,2.9500000000000455,0
2026-05-05 18:08:08+00,3.0400000000000205,0
2026-05-05 18:08:09+00,3.1200000000000045,0
2026-05-05 18:08:10+00,3.180000000000007,0.077
2026-05-05 18:08:11+00,3.230000000000018,3.138
2026-05-05 18:08:12+00,3.2700000000000387,18.617
2026-05-05 18:08:13+00,3.3100000000000023,24.306
2026-05-05 18:08:14+00,3.340000000000032,25.822
2026-05-05 18:08:15+00,3.3799999999999955,38.579
2026-05-05 18:08:16+00,3.430000000000007,31.892
2026-05-05 18:08:17+00,3.480000000000018,31.66
2026-05-05 18:08:18+00,3.5400000000000205,24.132
2026-05-05 18:08:19+00,3.590000000000032,16.247
2026-05-05 18:08:20+00,3.650000000000034,7.675
2026-05-05 18:08:21+00,3.730000000000018,0
2026-05-05 18:08:22+00,3.8000000000000114,0.024
2026-05-05 18:08:23+00,3.8600000000000136,20.071
2026-05-05 18:08:24+00,3.900000000000034,0
2026-05-05 18:08:25+00,3.9500000000000455,0.197
2026-05-05 18:08:26+00,3.990000000000009,14.221
2026-05-05 18:08:27+00,4.03000000000003,27.521
2026-05-05 18:08:28+00,4.07000000000005,26.607
2026-05-05 18:08:29+00,4.110000000000014,32.926
2026-05-05 18:08:30+00,4.150000000000034,24.981
2026-05-05 18:08:31+00,4.2000000000000455,17.132
2026-05-05 18:08:32+00,4.25,16.359
2026-05-05 18:08:33+00,4.310000000000002,15.74
2026-05-05 18:08:34+00,4.360000000000014,0
2026-05-05 18:08:35+00,4.420000000000016,0.028
2026-05-05 18:08:36+00,4.460000000000036,4.934
2026-05-05 18:08:37+00,4.510000000000048,13.202
2026-05-05 18:08:38+00,4.560000000000002,12.332
2026-05-05 18:08:39+00,4.590000000000032,11.494
2026-05-05 18:08:40+00,4.6200000000000045,22.506
2026-05-05 18:08:41+00,4.640000000000043,22.51
2026-05-05 18:08:42+00,4.670000000000016,20.264
2026-05-05 18:08:43+00,4.710000000000036,28.45
2026-05-05 18:08:44+00,4.740000000000009,30.721
2026-05-05 18:08:45+00,4.78000000000003,24.567
2026-05-05 18:08:46+00,4.82000000000005,16.519
2026-05-05 18:08:47+00,4.860000000000014,16.064
2026-05-05 18:08:48+00,4.910000000000025,3.159
2026-05-05 18:08:49+00,4.960000000000036,15.336
2026-05-05 18:08:50+00,5.010000000000048,0
2026-05-05 18:08:51+00,5.0400000000000205,0.017
2026-05-05 18:08:52+00,5.07000000000005,17.96
2026-05-05 18:08:53+00,5.110000000000014,11.473
2026-05-05 18:08:54+00,5.1299999999999955,17.927
2026-05-05 18:08:55+00,5.160000000000025,17.765
2026-05-05 18:08:56+00,5.180000000000007,17.527
2026-05-05 18:08:57+00,5.2000000000000455,24.619
2026-05-05 18:08:58+00,5.230000000000018,24.897
2026-05-05 18:08:59+00,5.260000000000048,20.899
2026-05-05 18:09:00+00,5.2900000000000205,15.693
2026-05-05 18:09:01+00,5.32000000000005,11.766
2026-05-05 18:09:02+00,5.360000000000014,7.155
2026-05-05 18:09:03+00,5.390000000000043,8.396
2026-05-05 18:09:04+00,5.430000000000007,11.312
2026-05-05 18:09:05+00,5.4500000000000455,5.046
2026-05-05 18:09:06+00,5.480000000000018,11.566
2026-05-05 18:09:07+00,5.5,11.356
2026-05-05 18:09:08+00,5.520000000000039,18.199
2026-05-05 18:09:09+00,5.53000000000003,17.787
2026-05-05 18:09:10+00,5.550000000000011,17.346
2026-05-05 18:09:11+00,5.57000000000005,17.244
2026-05-05 18:09:12+00,5.590000000000032,16.884
2026-05-05 18:09:13+00,5.610000000000014,16.424
2026-05-05 18:09:14+00,5.640000000000043,16.07
2026-05-05 18:09:15+00,5.660000000000025,10.417
2026-05-05 18:09:16+00,5.670000000000016,8.813
2026-05-05 18:09:17+00,5.7000000000000455,13.847
2026-05-05 18:09:18+00,5.740000000000009,7.742
2026-05-05 18:09:19+00,5.75,6.684
2026-05-05 18:09:20+00,5.760000000000048,13.226
2026-05-05 18:09:21+00,5.7900000000000205,12.158
2026-05-05 18:09:22+00,5.800000000000011,3.931
2026-05-05 18:09:23+00,5.800000000000011,10.639
2026-05-05 18:09:24+00,5.840000000000032,23.263
2026-05-05 18:09:25+00,5.830000000000041,9.619
2026-05-05 18:09:26+00,5.860000000000014,9.529
2026-05-05 18:09:27+00,5.8700000000000045,16.392
2026-05-05 18:09:28+00,5.8799999999999955,0
2026-05-05 18:09:29+00,5.910000000000025,0.019
2026-05-05 18:09:30+00,5.900000000000034,18.594
2026-05-05 18:09:31+00,5.930000000000007,0
2026-05-05 18:09:32+00,5.9500000000000455,0
2026-05-05 18:09:33+00,5.960000000000036,2.046
2026-05-05 18:09:34+00,5.980000000000018,5.756
2026-05-05 18:09:35+00,6,13.058
2026-05-05 18:09:36+00,5.980000000000018,13.626
2026-05-05 18:09:37+00,6,8.289
2026-05-05 18:09:38+00,6.010000000000048,15.811
2026-05-05 18:09:39+00,6,10.44
2026-05-05 18:09:40+00,6.020000000000039,27.376
2026-05-05 18:09:41+00,6.020000000000039,0
2026-05-05 18:09:42+00,6.050000000000011,0.134
2026-05-05 18:09:43+00,6.050000000000011,27.868
2026-05-05 18:09:44+00,6.0400000000000205,1.62
2026-05-05 18:09:45+00,6.080000000000041,0
2026-05-05 18:09:46+00,6.060000000000002,0.021
2026-05-05 18:09:47+00,6.080000000000041,0
2026-05-05 18:09:48+00,6.140000000000043,0
2026-05-05 18:09:49+00,6.100000000000023,0.005
2026-05-05 18:09:50+00,6.110000000000014,35.099
2026-05-05 18:09:51+00,6.110000000000014,13.689
2026-05-05 18:09:52+00,6.090000000000032,11.57
2026-05-05 18:09:53+00,6.140000000000043,20.478
2026-05-05 18:09:54+00,6.1299999999999955,0
2026-05-05 18:09:55+00,6.140000000000043,0.865
2026-05-05 18:09:56+00,6.170000000000016,0
2026-05-05 18:09:57+00,6.160000000000025,1.76
2026-05-05 18:09:58+00,6.180000000000007,0
2026-05-05 18:09:59+00,6.180000000000007,0
2026-05-05 18:10:00+00,6.180000000000007,0.056
2026-05-05 18:10:01+00,6.180000000000007,8.788
2026-05-05 18:10:02+00,6.189999999999998,16.401
2026-05-05 18:10:03+00,6.170000000000016,8.661
2026-05-05 18:10:04+00,6.180000000000007,8.206
2026-05-05 18:10:05+00,6.170000000000016,8.009
2026-05-05 18:10:06+00,6.160000000000025,23.085
2026-05-05 18:10:07+00,6.160000000000025,8.129
2026-05-05 18:10:08+00,6.170000000000016,7.609
2026-05-05 18:10:09+00,6.170000000000016,0
2026-05-05 18:10:10+00,6.170000000000016,3.842
2026-05-05 18:10:11+00,6.189999999999998,6.514
2026-05-05 18:10:12+00,6.2000000000000455,6.191
2026-05-05 18:10:13+00,6.170000000000016,6.021
2026-05-05 18:10:14+00,6.170000000000016,5.683
