time,Thermo Ch 5,Heater Ch 1
2026-05-08 10:27:00+00,1.910000000000025,0
2026-05-08 10:27:01+00,1.920000000000016,0
2026-05-08 10:27:02+00,1.920000000000016,0
2026-05-08 10:27:03+00,1.920000000000016,0
2026-05-08 10:27:04+00,1.920000000000016,0
2026-05-08 10:27:05+00,1.9300000000000068,0
2026-05-08 10:27:06+00,1.9300000000000068,0
2026-05-08 10:27:07+00,1.9300000000000068,0
2026-05-08 10:27:08+00,1.9300000000000068,0
2026-05-08 10:27:09+00,1.9300000000000068,0
2026-05-08 10:27:10+00,1.9300000000000068,0
2026-05-08 10:27:11+00,1.9300000000000068,0
2026-05-08 10:27:12+00,1.9300000000000068,0
2026-05-08 10:27:13+00,1.9300000000000068,0
2026-05-08 10:27:14+00,1.9300000000000068,23.869
2026-05-08 10:27:15+00,1.9300000000000068,24.996
2026-05-08 10:27:16+00,1.9399999999999977,24.996
2026-05-08 10:27:17+00,1.9300000000000068,24.996
2026-05-08 10:27:18+00,1.9399999999999977,24.996
2026-05-08 10:27:19+00,1.9300000000000068,24.996
2026-05-08 10:27:20+00,1.9399999999999977,24.996
2026-05-08 10:27:21+00,1.9300000000000068,24.78
2026-05-08 10:27:22+00,1.9399999999999977,24.756
2026-05-08 10:27:23+00,1.9300000000000068,24.744
2026-05-08 10:27:24+00,1.9300000000000068,24.696
2026-05-08 10:27:25+00,1.9399999999999977,24.66
2026-05-08 10:27:26+00,1.9300000000000068,24.66
2026-05-08 10:27:27+00,1.9300000000000068,24.624
2026-05-08 10:27:28+00,1.9300000000000068,24.624
2026-05-08 10:27:29+00,1.9300000000000068,24.612
2026-05-08 10:27:30+00,1.9399999999999977,24.576
2026-05-08 10:27:31+00,1.9399999999999977,24.576
2026-05-08 10:27:32+00,1.9399999999999977,24.576
2026-05-08 10:27:33+00,1.9399999999999977,24.564
2026-05-08 10:27:34+00,1.9600000000000364,24.528
2026-05-08 10:27:35+00,1.9600000000000364,24.516
2026-05-08 10:27:36+00,1.9700000000000273,24.516
2026-05-08 10:27:37+00,1.990000000000009,24.528
2026-05-08 10:27:38+00,1.990000000000009,24.504
2026-05-08 10:27:39+00,2,24.48
2026-05-08 10:27:40+00,2.0200000000000387,24.48
2026-05-08 10:27:41+00,2.0300000000000296,24.456
2026-05-08 10:27:42+00,2.0400000000000205,24.468
2026-05-08 10:27:43+00,2.0600000000000023,24.444
2026-05-08 10:27:44+00,2.080000000000041,24.456
2026-05-08 10:27:45+00,2.1000000000000227,24.444
2026-05-08 10:27:46+00,2.1200000000000045,24.444
2026-05-08 10:27:47+00,2.140000000000043,24.444
2026-05-08 10:27:48+00,2.150000000000034,24.444
2026-05-08 10:27:49+00,2.170000000000016,24.42
2026-05-08 10:27:50+00,2.1899999999999977,24.444
2026-05-08 10:27:51+00,2.2100000000000364,24.42
2026-05-08 10:27:52+00,2.230000000000018,24.408
2026-05-08 10:27:53+00,2.25,24.408
2026-05-08 10:27:54+00,2.2700000000000387,24.396
2026-05-08 10:27:55+00,2.3000000000000114,24.396
2026-05-08 10:27:56+00,2.32000000000005,24.396
2026-05-08 10:27:57+00,2.340000000000032,24.396
2026-05-08 10:27:58+00,2.3700000000000045,24.36
2026-05-08 10:27:59+00,2.390000000000043,24.396
2026-05-08 10:28:00+00,2.410000000000025,24.384
2026-05-08 10:28:01+00,2.4399999999999977,24.372
2026-05-08 10:28:02+00,2.4600000000000364,24.36
2026-05-08 10:28:03+00,2.490000000000009,24.372
2026-05-08 10:28:04+00,2.5200000000000387,24.348
2026-05-08 10:28:05+00,2.5400000000000205,24.36
2026-05-08 10:28:06+00,2.57000000000005,24.36
2026-05-08 10:28:07+00,2.590000000000032,24.348
2026-05-08 10:28:08+00,2.6200000000000045,24.348
2026-05-08 10:28:09+00,2.640000000000043,24.348
2026-05-08 10:28:10+00,2.670000000000016,24.348
2026-05-08 10:28:11+00,2.7000000000000455,24.336
2026-05-08 10:28:12+00,2.7200000000000273,24.336
2026-05-08 10:28:13+00,2.740000000000009,24.348
2026-05-08 10:28:14+00,2.7700000000000387,24.336
2026-05-08 10:28:15+00,2.7900000000000205,24.348
2026-05-08 10:28:16+00,2.82000000000005,24.336
2026-05-08 10:28:17+00,2.8500000000000227,24.324
2026-05-08 10:28:18+00,2.8799999999999955,24.336
2026-05-08 10:28:19+00,2.890000000000043,24.324
2026-05-08 10:28:20+00,2.930000000000007,24.336
2026-05-08 10:28:21+00,2.9500000000000455,24.324
2026-05-08 10:28:22+00,2.9700000000000273,24.312
2026-05-08 10:28:23+00,3.0100000000000477,24.324
